query,ground truth,semantic search (word2vec),common articles (word2vec),common links (word2vec),semantic search (tsdae),common articles (tsdae),common links (tsdae)
athygli,81,10,0,1518,10,0,1379
atlas,1,10,0,18,10,0,17
atla,40,10,0,698,10,0,614
atli,4,10,0,60,10,0,64
atlantshaf,2,10,0,43,10,0,41
ate,439,10,0,7067,10,0,7413
atburðaminni,2,10,0,56,10,0,30
atómmassi,3,10,0,157,10,0,47
aðventukrans,1,10,0,17,10,0,16
aðalsögn,3,10,0,61,10,0,42
aðalborg,1,10,0,16,10,0,17
aðalsetning,5,10,0,125,10,0,79
aðaltenging,5,10,0,130,10,0,72
aðalskipulag,9,10,0,1122,10,0,146
aðalorð,2,10,0,40,10,0,32
aðalsöngvari,8,10,0,128,10,0,125
aðflutningur,1,10,0,17,10,0,16
aðskeyti,5,10,0,120,10,0,95
arabíska,107,10,0,2259,10,0,1891
argon,3,10,0,212,10,0,59
arkitekt,44,10,0,808,10,0,806
ari,3766,10,0,56681,10,0,59905
aris,89,10,0,1529,10,0,1523
aron,20,10,0,310,10,0,311
artúr,1,10,0,16,10,0,15
arna,1104,10,0,17233,10,0,18290
arnar,399,10,0,6200,10,0,6178
are,515,10,0,8124,10,0,9206
ares,11,10,0,187,10,0,182
arent,8,10,0,119,10,0,132
armenska,3,10,0,166,10,0,52
aríi,6,10,0,123,10,0,110
arsen,11,10,0,302,10,0,159
alvar,37,10,0,568,10,0,589
alvin,11,10,0,191,10,0,191
alabastur,1,10,0,55,10,0,55
algyðistrú,4,10,0,150,10,0,64
algildi,5,10,0,79,10,0,82
algebra,7,10,0,210,10,0,113
alæta,2,10,0,34,10,0,32
alkóhól,9,10,0,282,10,0,166
alkalímálmur,8,10,0,264,10,0,120
alkul,3,10,0,138,10,0,46
ali,2110,10,0,37030,10,0,31248
alfa,29,10,0,471,10,0,531
alfræðirit,9,10,0,306,10,0,306
alta,209,10,0,3226,10,0,3420
altari,14,10,0,317,10,0,227
alræði,11,10,0,259,10,0,175
allrahanda,1,10,0,85,10,0,18
allah,41,10,0,620,10,0,663
alnæmi,1,10,0,17,10,0,15
alex,5,10,0,76,10,0,78
alba,57,10,0,1055,10,0,940
albanska,4,10,0,217,10,0,68
albert,3,10,0,45,10,0,51
almenningssamgöngur,4,10,0,70,10,0,66
alma,72,10,0,1293,10,0,1226
almennt ár,2,10,0,39,10,0,31
almannatengsl,2,10,0,75,10,0,33
alí,623,10,0,9401,10,0,9209
alísa,1,10,0,15,10,0,15
alís,37,10,0,617,10,0,565
aldursgreining með geislunarmælingu,1,10,0,21,10,0,17
aldar,807,10,0,13262,10,0,15248
aldís,10,10,0,184,10,0,152
aldursgreining,7,10,0,151,10,0,115
alþjóðastofnun,12,10,0,327,10,0,243
alþjóðlega hljóðstafrófið,3,10,0,79,10,0,47
alþingi,70,10,0,2123,10,0,1084
alsjálfvirkt skotvopn,1,10,0,17,10,0,21
ananas,7,10,0,206,10,0,126
analysis,1,10,0,15,10,0,16
angela,1,10,0,15,10,0,18
angi,249,10,0,4142,10,0,4528
anima,1,10,0,17,10,0,17
anime,30,10,0,1090,10,0,524
anita,7,10,0,125,10,0,116
antimon,2,10,0,205,10,0,42
anton,4,10,0,61,10,0,63
anthrax,1,10,0,16,10,0,15
anja,46,10,0,729,10,0,707
anno domini,1,10,0,98,10,0,17
ann,11770,10,0,192666,10,0,182310
anne,269,10,0,4534,10,0,4335
annes,202,10,0,2983,10,0,3339
anna,3719,10,0,58580,10,0,54434
annus horribilis,1,10,0,15,10,0,20
aníta,2,10,0,32,10,0,35
andrá,4,10,0,63,10,0,78
andhverfa,9,10,0,219,10,0,139
andri,146,10,0,2648,10,0,2616
andrúmsloft,31,10,0,608,10,0,573
andlitsmynd,1,10,0,17,10,0,16
andra,17,10,0,290,10,0,312
andlag,10,10,0,313,10,0,191
andheiti,3,10,0,109,10,0,44
and,11967,10,0,179804,10,0,185476
andlitsbein,2,10,0,62,10,0,32
andaætt,8,10,0,332,10,0,127
andrúmsloft jarðar,2,10,0,39,10,0,31
anders,30,10,0,536,10,0,492
abraham,7,10,0,110,10,0,106
abel,77,10,0,1323,10,0,1273
abba,65,10,0,1241,10,0,1151
abstraktlist,1,10,0,19,10,0,18
auga,281,10,0,5606,10,0,4504
auglýsingar,6,10,0,179,10,0,100
aukatenging,4,10,0,113,10,0,106
aukasetning,7,10,0,171,10,0,111
aukafall,6,10,0,185,10,0,122
auður,32,10,0,479,10,0,541
auðna,3,10,0,46,10,0,49
auðgunarbrot,1,10,0,21,10,0,21
auðunn,1,10,0,15,10,0,16
austurnorræn mál,2,10,0,44,10,0,35
austar,16,10,0,247,10,0,289
austfirðir,1,10,0,18,10,0,17
austurland,11,10,0,210,10,0,184
amal,176,10,0,3312,10,0,2968
amper,12,10,0,347,10,0,195
amperstund,1,10,0,58,10,0,15
amos,17,10,0,261,10,0,288
amtmaður,12,10,0,241,10,0,190
amt,1197,10,0,19612,10,0,19914
amharíska,7,10,0,256,10,0,112
amerískur fótbolti,1,10,0,87,10,0,15
amen,273,10,0,4410,10,0,4707
amd,165,10,0,2823,10,0,2690
a,20419,10,0,372654,10,0,344189
aó,53,10,0,926,10,0,918
ada,532,10,0,8929,10,0,10187
adam,8,10,0,147,10,0,123
adel,28,10,0,559,10,0,432
addi,19,10,0,324,10,0,343
adda,29,10,0,534,10,0,480
axel,10,10,0,167,10,0,153
ask,1049,10,0,16341,10,0,17037
askur,26,10,0,422,10,0,478
asp,99,10,0,1735,10,0,1737
aspar,5,10,0,89,10,0,94
astrid,1,10,0,18,10,0,16
asía,28,10,0,449,10,0,487
assa,253,10,0,3898,10,0,4767
gagnfræðaskóli,2,10,0,35,10,0,29
gagntæk vörpun,2,10,0,62,10,0,34
gagnkynhneigð,2,10,0,45,10,0,43
gagnagrunnur,4,10,0,97,10,0,61
gagnkvæmni,1,10,0,44,10,0,16
gapastokkur,1,10,0,34,10,0,16
gata,103,10,0,1802,10,0,1624
garðar,18,10,0,299,10,0,291
garnaveiki,2,10,0,86,10,0,35
